image_path,ig_handle,post_date,image_index,ocr_text_raw,ocr_text_clean,ocr_detected_bool,sentiment_label,sentiment_score,scene_description,vlm_emotion_description,face_detected_bool,face_emotion_label,face_emotion_score,processed_at
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20251212__4.webp,jin,2025-12-12,4,NONE,NONE,False,,,"The image exudes a polished and serene mood, featuring a man in a crisp white suit holding a stack of gifts against a cool, soft blue background with dreamy bokeh lights. His calm expression and relaxed posture are highlighted by soft, diffused lighting that creates a gentle glow, enhancing the elegant and festive atmosphere. The composition balances his figure with the vertical stack of presents, evoking a sense of refined holiday cheer.","Emotion: Happy
Evidence: The subject displays a gentle, closed-mouth smile and maintains direct, engaging eye contact with the camera. He is holding a stack of wrapped gifts, suggesting a celebratory or festive context. The background features a bright, vibrant blue with soft, glowing bokeh lights, creating a cheerful and uplifting atmosphere. The lighting is bright and even, illuminating the white suit and gifts clearly, which contributes to a positive and pleasant mood. The posture is upright and relaxed.",True,neutral,0.898231,2026-03-10T16:47:14.083691
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260303__0.webp,jin,2026-03-03,0,NONE,NONE,False,,,"A solitary man stands with a stiff posture and hands in his pockets, framed symmetrically by two dark windows against a weathered white brick wall. The image is dominated by cold, desaturated tones of grey and white, while harsh lighting casts deep shadows that enhance the gritty, urban texture. This composition creates a mood of stark isolation and quiet, melancholic contemplation.","Emotion: neutral
Evidence: The person displays a neutral facial expression with a direct, calm gaze. Their posture is upright but relaxed, with hands tucked into the pockets of their coat, suggesting a casual or reserved stance rather than active distress. The visual tone is set by muted grey and white colors, dim lighting with shadows in the windows, and an isolated, empty industrial setting, which creates a somber or melancholic atmosphere, but the subject's demeanor remains composed and unreadable.",True,neutral,0.287773,2026-03-10T16:47:04.286843
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20251212__4.webp,jin,2025-12-12,4,NONE,NONE,False,,,"A man in a crisp white suit gazes softly at the viewer, his relaxed posture and gentle expression contrasting with the cool, icy blue background and bright white gift boxes he holds. The soft, diffused lighting eliminates harsh shadows, creating an elegant and polished atmosphere that feels both festive and sophisticated, while the blurred bokeh background adds a dreamy, celebratory quality to the scene.","Emotion: Happy
Evidence: The subject displays a gentle, pleasant expression with a slight smile and direct, engaging eye contact. His posture is upright and confident, and his hands are relaxed while holding a stack of wrapped gifts. The visual palette is bright and vibrant, featuring a white suit, a bright blue background, and white ribbons. The lighting is soft and high-key with a festive bokeh effect in the background, creating an uplifting and celebratory atmosphere.",True,neutral,0.898231,2026-03-10T16:47:14.257419
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260123__3.webp,jin,2026-01-23,3,NONE,NONE,False,,,"A solitary figure stands with a stiff, neutral posture against a towering, textured backdrop of frozen water, creating a sense of quiet isolation within a harsh, wintry environment. The scene is dominated by cool, bright whites and icy blues, which are sharply punctuated by the vibrant, primary colors of three empty chairs arranged in the foreground. Diffused lighting washes over the landscape, emphasizing the stillness and chill of the ice while the centered composition highlights the small human presence amidst the vast, frozen structures.","Emotion: Neutral
Evidence: The person stands upright with a neutral expression, facing forward. The setting is a cold, wintry landscape with frozen formations, but the presence of brightly colored chairs (red, yellow, blue) adds a touch of whimsy. The lighting is natural daylight, and the posture is relaxed and straight, suggesting a calm, observational mood rather than strong emotion.",False,,0.0,2026-03-10T16:47:29.203823
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260217__2.webp,jin,2026-02-17,2,,,False,,,ERROR: VLM API returned None (possible insufficient credits or API error),ERROR: VLM API returned None (possible insufficient credits or API error),False,,0.0,2026-03-10T16:47:45.999897
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260228__1.webp,jin,2026-02-28,1,,,False,,,ERROR: VLM API returned None (possible insufficient credits or API error),ERROR: VLM API returned None (possible insufficient credits or API error),False,,0.0,2026-03-10T16:47:46.002340
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260303__0.webp,jin,2026-03-03,0,NONE,NONE,False,,,"A solitary man stands centered against a weathered white brick wall, flanked by two dark, grid-like windows that frame him in stark isolation. The image is dominated by cool, desaturated tones of grey and white, creating a gritty, industrial atmosphere enhanced by harsh lighting that casts deep shadows. This monochromatic setting emphasizes the subject's neutral expression and stiff posture, evoking a sense of urban loneliness and quiet contemplation.","Emotion: sad
Evidence: The image features a desaturated, monochromatic color palette dominated by greys and whites, creating a gloomy atmosphere. The setting is an empty, isolated room with a worn brick wall and dark windows, suggesting loneliness. The subject stands alone with hands tucked into coat pockets, a closed-off posture that often indicates withdrawal or introspection. The lighting is somewhat dim and stark, casting shadows that enhance the somber mood, while the facial expression appears serious and distant rather than happy or energetic.",False,,0.0,2026-03-10T16:47:46.002718
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260228__1.webp,jin,2026-02-28,1,NONE,NONE,False,,,"A solitary figure sits on dry, golden grass with legs extended and a relaxed posture, gazing thoughtfully away from the camera. The scene is dominated by earthy, muted tones of brown and olive green, illuminated by soft, natural sunlight that casts gentle shadows across the landscape. This composition evokes a quiet, contemplative mood, emphasizing a sense of peaceful isolation amidst the natural surroundings.","Emotion: Neutral
Evidence:
- Face: The expression is calm and relaxed, with a gaze directed slightly away from the camera rather than engaging directly.
- Body: The posture is casual and open, sitting on the grass with legs extended and hands resting loosely on the thighs, indicating a lack of tension.
- Colors: The palette consists of muted, earthy tones (brown jacket, dry grass, green trees) which create a grounded, natural atmosphere.
- Lighting: Natural daylight illuminates the scene, creating soft shadows without dramatic or gloomy effects.
- Setting: The person is sitting alone in an open, grassy area with trees in the background, suggesting a solitary, peaceful moment.",True,sad,0.182807,2026-03-10T16:53:35.138326
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260303__0.webp,jin,2026-03-03,0,NONE,NONE,False,,,"A solitary man stands centered against a weathered white brick wall, flanked by two dark, grid-like windows that frame him in stark isolation. The image is dominated by cool, desaturated tones of grey and white, creating a gritty, industrial atmosphere enhanced by harsh lighting that casts deep shadows. This monochromatic setting emphasizes the subject's neutral expression and stiff posture, evoking a sense of urban loneliness and quiet contemplation.","Emotion: neutral
Evidence: The subject stands with an upright, relatively relaxed posture and has their hands tucked into the pockets of their coat, suggesting a calm or guarded stance rather than active distress. The facial expression appears serious and unreadable, lacking distinct smiles or frowns. The visual tone is set by the muted grey and white color palette, the dim lighting with shadows, and the isolated, empty industrial setting, which creates a stoic or detached atmosphere.",True,neutral,0.287773,2026-03-10T16:53:32.497149
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260228__1.webp,jin,2026-02-28,1,NONE,NONE,False,,,"A solitary figure sits on dry, golden grass with a relaxed, slumped posture and an averted gaze, evoking a sense of quiet introspection or mild melancholy. The image is dominated by warm, earthy tones ranging from the subject's brown jacket to the muted greens of the background trees, all illuminated by soft, natural sunlight that casts gentle shadows. This composition isolates the individual against the natural backdrop, creating a peaceful and slightly nostalgic atmosphere typical of a quiet afternoon in late autumn.","Emotion: Neutral
Evidence: The subject is sitting in a relaxed posture on the grass with an upright head and a calm, neutral facial expression. The lighting is natural and bright, suggesting a pleasant day. The earthy color palette and open outdoor setting contribute to a peaceful, untroubled atmosphere.",True,sad,0.182807,2026-03-10T16:53:35.284396
/Users/risha/Documents/GitHub/SC4000-ML/DellInnovateImage/backend/image-service/data/post_images/jin__20260303__0.webp,jin,2026-03-03,0,NONE,NONE,False,,,"A solitary man stands with a stiff, upright posture and hands in his pockets, his neutral expression contributing to a mood of stoic isolation. The scene is dominated by cold, desaturated tones of grey and white, where harsh lighting casts deep shadows against a gritty, peeling brick wall framed by dark, industrial windows. This stark, centered composition emphasizes his solitude, creating a gritty, urban atmosphere that feels both cold and slightly melancholic.","Emotion: sad
Evidence: The image features a solitary figure standing in a stark, empty room, creating a sense of isolation. The color palette is muted and monochromatic, dominated by greys and whites, which often conveys melancholy. The lighting is dim with visible shadows on the brick wall, adding a somber atmosphere. The person's hands are tucked into their coat pockets, a posture that can suggest withdrawal or self-protection, and their expression appears serious and unsmiling. The dark, grid-like windows in the background contribute to a feeling of confinement or gloom.",False,,0.0,2026-03-10T16:53:53.697415
/Users/risha/Documents/GitHub/DellInnovate2026_Final/backend/image-service/data/post_images/idkwhatissmyname__20260315__0.jpg,idkwhatissmyname,2026-03-15,0,NONE,NONE,False,,,"The image depicts a solitary figure in silhouette, hunched forward with hands clasped near the face in a gesture of prayer or deep distress. High-contrast lighting casts the person in deep shadow against a bright, backlit background of vertical blinds, creating a stark visual separation. This composition emphasizes the subject's isolation, evoking a somber, quiet, and introspective mood.","Emotion: Sad
Evidence: The subject is depicted as a silhouette with a bowed head and slumped posture, leaning forward. Their hands are clasped together near their face, a gesture often associated with despair, prayer, or deep distress. The lighting is dramatic and high-contrast, casting the figure in deep shadow against a bright, window-lit background with vertical blinds, which creates a sense of isolation and somber mood. The setting appears to be a solitary indoor space.",False,fear,0.547839,2026-03-15T08:53:52.236146
/Users/risha/Documents/GitHub/DellInnovate2026_Final/backend/image-service/data/post_images/idkwhatissmyname__20260315__1.jpg,idkwhatissmyname,2026-03-15,1,"DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS,
be KIND.
you dont know what DEMON
people are fighting for!
691","DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS,
be KIND.
you dont know what DEMON
people are fighting for!
691",True,NEGATIVE,0.8281975984573364,"The solitary figure sits huddled on the floor with their head buried in their knees, adopting a posture of profound withdrawal and despair. The stark black-and-white palette enhances the somber mood, using high contrast to isolate the dark figure against the empty gray space where the text floats. This composition creates a heavy, melancholic atmosphere, emphasizing the weight of the message about depression hovering over the individual.","Emotion: sad
Evidence: The person is curled into a fetal position with their head buried in their arms, indicating withdrawal and distress. The image is in black and white, creating a somber and bleak atmosphere. The text overlay explicitly mentions ""DEPRESSION"" and ""DEMON,"" reinforcing the heavy emotional tone. The setting is isolated, showing the person alone against a plain wall.",False,sad,0.749649,2026-03-15T08:53:53.658278
/Users/risha/Documents/GitHub/DellInnovate2026_Final/backend/image-service/data/post_images/idkwhatissmyname__20260315__0.jpg,idkwhatissmyname,2026-03-15,0,NONE,NONE,False,,,"The image features a silhouette of a person sitting with their head bowed and hands clasped, conveying a posture of deep prayer, despair, or intense contemplation. High-contrast lighting casts the figure in deep shadow against bright, vertical window blinds, creating a stark and somber atmosphere. The composition isolates the subject on the left, emphasizing a profound sense of solitude and introspection.","Emotion: sad
Evidence: The subject is depicted as a dark silhouette with their head bowed down and hands clasped near their face, suggesting a slumped, defeated posture. The high-contrast lighting creates deep shadows that obscure facial features, emphasizing the isolation of the figure against the window blinds. The overall composition feels heavy and somber.",False,fear,0.547839,2026-03-15T08:53:54.257511
/Users/risha/Documents/GitHub/DellInnovate2026_Final/backend/image-service/data/post_images/idkwhatissmyname__20260315__1.jpg,idkwhatissmyname,2026-03-15,1,"DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS,
be KIND.
you dont know what DEMON
people are fighting for!
691","DEPRESSION has
no GENDER,
no AGE,
no RACE,
no STATUS,
be KIND.
you dont know what DEMON
people are fighting for!
691",True,NEGATIVE,0.8281975984573364,"A solitary figure sits huddled on the floor with their head buried in their knees, conveying a posture of deep despair and withdrawal. The stark black-and-white palette and heavy vignetting create a somber, oppressive atmosphere, using high contrast to isolate the subject against the gray background. The positioning of the text above the figure emphasizes a sense of overwhelming weight, reinforcing the overall mood of quiet, heavy melancholy.","Emotion: sad
Evidence: The person is curled into a fetal position with their head buried in their arms, a posture strongly associated with distress, withdrawal, and sadness. The image is in black and white, creating a somber and serious mood. The lighting is somewhat dim and shadowy. Additionally, the text overlay explicitly discusses ""DEPRESSION"" and fighting ""DEMON,"" which contextualizes the visual cues of isolation and despair.",False,,0.0,2026-03-15T08:54:11.967974
