Case_User,Comment_Text,Emotion_Label,Sentiment_Score,Distortion_Indicator
chrishemsworth,"Hermoso, elegante, carismático y excelente actor, bendiciones te abracen Chris 🙏🙏🙏🙏🤗🤗🤗🤗🤗😍😍😍😍😍😍😍😍😍😍😍😍😍😍♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️",neutral,0.9562665303237736,0
chrishemsworth,God father fr,anger,0.7008518688380718,0
chrishemsworth,Hermoso ❤️,neutral,0.9116608588956296,0
markruffalo,"Getting to work with my brother @chrishemsworth is always a blast.

You can watch @crime101film exclusively in theaters starting tonight.",joy,0.9784104560967535,0
markruffalo,"I will never understand how people can be against something, then go ahead and support a company who is enabling what they are against? #boycottamazon #notechforice",anger,-0.9019799386151135,0
markruffalo,Hulk an Thor in suita,neutral,0.2108913348056376,0
markruffalo,free iran,neutral,0.016830384731292725,0
markruffalo,Great film ❤️,joy,0.9690881329588592,0
markruffalo,Please talk about #iran 🆘,fear,0.14396971836686134,0
crime101film,Crafted for excellence. #Crime101 is in Theaters and IMAX everywhere this Friday. Get tickets now.,fear,0.8920145633164793,0
crime101film,Thoroughly enjoyed the movie 🍿 want to see it again!!,joy,0.9881994659081101,0
crime101film,Bhsbsbsba,neutral,0.06640304625034332,0
crime101film,SO GOOD,joy,0.8793841954320669,0
crime101film,En noviembre MIXQUIC 😍❤️,neutral,0.9742717037443072,0
mrbeast,I can’t tell the difference,surprise,-0.44832489266991615,0
mrbeast,Hlep,neutral,0.22541793435811996,0
mrbeast,Hlep,neutral,0.22541793435811996,0
mrbeast,Hlep,neutral,0.22541793435811996,0
mrbeast,Hlep,neutral,0.22541793435811996,0
mrbeast,Hlep,neutral,0.22541793435811996,0
mrbeast,Hlep,neutral,0.22541793435811996,0
mrbeast,Hlep,neutral,0.22541793435811996,0
mrbeast,Hlep,neutral,0.22541793435811996,0
